-34.7002,6.40226
-34.2184,6.88194
-33.6403,7.36176
-33.0621,7.84157
-32.4839,8.32138
-32.0021,8.86094
-31.424,9.34075
-30.8458,9.82056
-30.2677,10.3004
-29.8822,10.6602
-29.3041,11.0801
-28.7259,11.5599
-28.1478,12.0397
-27.5696,12.5195
-26.9914,12.9993
-26.5096,13.5389
-25.8351,13.959
-25.1606,14.379
-24.3897,14.9789
-23.7152,15.4588
-23.0407,15.8789
-22.3662,16.239
-21.5953,16.6592
-20.9208,17.0793
-20.2463,17.4993
-19.4754,17.7998
-18.6081,18.1602
-17.8373,18.4606
-16.97,18.7612
-16.1028,19.0019
-15.2355,19.2425
-13.9829,19.4837
-13.0193,19.6048
-12.152,19.7856
-11.1884,19.9066
-10.3212,20.0275
-9.16488,20.2087
-8.20128,20.21
-6.94861,20.2715
-6.08137,20.3924
-5.11777,20.5135
-4.15418,20.4549
-3.19058,20.4562
-1.16702,20.6385
-0.203426,20.7595
0.856531,20.761
1.82013,20.7622
