-34.8498,40.7534
-33.2261,40.6164
-31.4548,40.4795
-29.9787,40.3425
-28.5026,40.2055
-27.0264,39.9315
-25.5503,39.7945
-24.2216,39.3836
-23.4835,39.1096
-22.1547,38.5616
-20.826,38.0137
-19.4971,37.3288
-18.1682,36.5068
-16.9869,35.6849
-15.8056,34.863
-14.6243,34.0411
-13.8858,33.3562
-12.8521,32.5342
-11.8183,31.5753
-10.6369,30.6164
-9.60311,29.6575
-8.56931,28.6986
-7.53559,27.8767
-6.6494,26.9178
-5.6156,25.9589
-4.58188,25.137
-3.69568,24.1781
-2.66197,23.3562
-1.18511,21.9863
-0.151224,20.8904
0.882576,19.9315
1.91646,18.8356
